a001	ell20	20	5168.147582748343
a001	ell30	30	5168.147582748343
a001	ell40	40	5168.147582748343
a001	ell50	50	5168.147582748343
a002	ell20	20	10336.295165496686
a002	ell30	30	10336.295165496686
a002	ell40	40	10336.295165496686
a002	ell50	50	10336.295165496686
a003	ell20	20	15504.442748245028
a003	ell30	30	15504.442748245028
a003	ell40	40	15504.442748245028
a003	ell50	50	15504.442748245028
a003	ell58p88	58.88	15504.442748245028
a004	ell20	20	20672.59033099337
a004	ell30	30	20672.59033099337
a004	ell40	40	20672.59033099337
a004	ell50	50	20672.59033099337
a006	ell20	20	31008.885496490057
a006	ell30	30	31008.885496490057
a006	ell40	40	31008.885496490057
a006	ell50	50	31008.885496490057
a006	ell58p88	58.88	31008.885496490057
